Category_id,Title,Description,Price,Created_At,Updated_At,Image_URL
1,Garage Cleaning,"Professional garage cleaning service to organize and clean your garage, creating a clutter-free space.",96.35,12/11/2023 05:15,07/12/2023 05:15,https://img.freepik.com/foto-gratis/pintor-masculino-overoles-haciendo-su-trabajo-tienda-autos_23-2149750010.jpg?t=st=1731340768~exp=1731344368~hmac=60f9a6955cc24f50ba0a30d19f504199499295649507c3c4c3555749b69f9d9e&w=996
3,Fan Installation,Expert fan installation service to improve air circulation and comfort in your space.,290.04,19/09/2024 05:15,07/10/2024 05:15,https://img.freepik.com/fotos-premium/electricista-inteligente-cambia-ventilador-techo-repara-ventilador-techo_1167344-81349.jpg?w=1060
3,Surge Protector Installation,Reliable surge protector installation to safeguard your electronics from power surges.,216.12,08/08/2024 05:15,14/08/2024 05:15,https://img.freepik.com/foto-gratis/mujer-apagando-interruptor-luz_1398-1286.jpg?t=st=1731340857~exp=1731344457~hmac=b9e20c0ffbd50795dd512ff2ccadc6430f24192f8e56f9813f4b4e285663ad9d&w=826
3,Ceiling Fan Repair,"Efficient ceiling fan repair service to fix wobbling, noise, and restore proper airflow.",452.24,25/07/2024 05:15,23/08/2024 05:15,https://img.freepik.com/fotos-premium/seccion-media-hombre-que-sostiene-ventilador_1048944-10034306.jpg?w=826
3,Solar Panel Installation,Expert solar panel installation service to harness renewable energy and reduce electricity bills.,70.09,03/11/2023 05:15,21/11/2023 05:15,https://img.freepik.com/foto-gratis/hombre-casco-blanco-cerca-panel-solar_1157-29977.jpg?t=st=1731340952~exp=1731344552~hmac=a048a8b0da46c08783d79b83de2f03373c6ce9dbd3f096332feb062cf6fa5aba&w=996
3,Electric Vehicle Charger Installation,Professional EV charger installation for convenient and safe home charging of your electric vehicle.,213.53,01/02/2024 05:15,15/02/2024 05:15,https://img.freepik.com/foto-gratis/cerca-coche-electrico-francia_23-2149169777.jpg?t=st=1731341009~exp=1731344609~hmac=30bcbd079b86c8e5bed5207200803e0f06869c0207bf4be8a571efd73a7eb6db&w=996
3,Fuse Replacement,Quick and safe fuse replacement service to restore power and prevent electrical hazards.,89.85,21/12/2023 05:15,26/12/2023 05:15,https://img.freepik.com/fotos-premium/san-petersburgo-rusia-19-diciembre-2019-hombres-manos-cerca-instalacion-medidor-electrico_1048944-25160939.jpg?w=996
3,Thermostat Installation,Accurate thermostat installation for better temperature control and energy efficiency.,207.48,10/06/2024 05:15,27/06/2024 05:15,https://img.freepik.com/foto-gratis/hombre-que-apaga-fusible-electrico-caja-electrica-pared_23-2148087623.jpg?t=st=1731341135~exp=1731344735~hmac=2f7f4ebec0dec2b3042657b18bd40ef292389f2fb0473da3323da86495dfaa0c&w=996
2,Shower Repair,"Expert shower repair service to fix leaks, temperature issues, and enhance water pressure.",498.92,05/11/2023 05:15,15/11/2023 05:15,https://img.freepik.com/foto-gratis/vista-frontal-hombre-trabajando-como-fontanero_23-2150746314.jpg?t=st=1731341192~exp=1731344792~hmac=bf30dbc469e1214d272c71217450a15b91947334b9e915c4d81fd6f94de8ffff&w=996
2,Toilet Repair,"Quick and efficient toilet repair service to resolve leaks, clogs, and flush issues.",488.68,01/10/2024 05:15,27/10/2024 05:15,https://img.freepik.com/foto-gratis/hombre-fontanero-trabajando-arreglar-problemas-casa-cliente_23-2150990700.jpg?t=st=1731341287~exp=1731344887~hmac=65b88e69d7c5e72d6c9341b91d8d15528cdc24a31c8f537356deb382785b9ec8&w=996
2,Bathtub Installation,Professional bathtub installation for a comfortable and stylish addition to your bathroom.,342.54,04/07/2024 05:15,03/08/2024 05:15,https://img.freepik.com/fotos-premium/mudanzas-masculinas-banera-estante-bano-casa-nueva_1339860-4512.jpg?w=996
4,Wooden Repairs,"Comprehensive repairs for wooden furniture and fixtures, restoring functionality and appearance.",200,01/10/2024 08:00,01/10/2024 08:00,https://img.freepik.com/foto-gratis/trabajador-construccion-martillo-lugar-trabajo_23-2150530695.jpg?t=st=1731341379~exp=1731344979~hmac=40c5e3d6a00f6b97e0193d854b8ce3234b7586d4d7fdd6f72eaf63054681d157&w=996
4,Custom Furniture Design,Tailored furniture design services to create custom pieces that fit your style and space.,500,01/10/2024 08:00,01/10/2024 08:00,https://img.freepik.com/foto-gratis/persona-barnizando-madera_23-2148748820.jpg?t=st=1731341414~exp=1731345014~hmac=a212db6a60e54aa3669b87ad27d787d3f699a93c7f5ad980940bb3b6c608e7d8&w=360
5,Appliance Repair,Efficient repair service for home appliances to keep them running smoothly.,100,01/10/2024 08:00,01/10/2024 08:00,https://img.freepik.com/fotos-premium/joven-militar-moderno-traje-trabajador-reparacion-lavavajillas-cocina-domestica_283617-2798.jpg?w=996
5,Door Lock Repair,Reliable door lock repair service for enhanced security and smooth operation.,175,01/10/2024 08:00,01/10/2024 08:00,https://img.freepik.com/foto-gratis/retrato-hombre-habitacion-abriendo-puerta-manos-guantes_176474-2810.jpg?t=st=1731341512~exp=1731345112~hmac=6c5a6424a601dc18a14ef98bc72a9e3c6b40113707caa3479896902119e12619&w=996
5,Window Repair,"Professional window repair to fix cracks, seals, and ensure durability.",180,01/10/2024 08:00,01/10/2024 08:00,https://img.freepik.com/foto-gratis/taladro-explotacion-hombre-tiro-medio_23-2148752026.jpg?t=st=1731341555~exp=1731345155~hmac=bc125475020f07825ce962a713e727af3729ae2e525cd452f6af34b8bee86879&w=826
